Role,Skills
DevOps Engineer,Terraform Docker Linux CI/CD Kubernetes
Data Scientist,MachineLearning TensorFlow Statistics Python SQL
Cybersecurity Analyst,Linux Networking CyberSecurity Python Wireshark
Frontend Developer,CSS JavaScript HTML Angular React
Data Scientist,SQL TensorFlow MachineLearning Statistics NumPy
Cybersecurity Analyst,Linux Python Networking CyberSecurity Wireshark
Web Developer,CSS JavaScript React NodeJS HTML
Cybersecurity Analyst,CyberSecurity Linux Networking Python Wireshark
Frontend Developer,Angular JavaScript HTML React VueJS
Web Developer,NodeJS Bootstrap HTML CSS React
Data Scientist,Statistics Python MachineLearning SQL NumPy
DevOps Engineer,CI/CD Docker Linux Kubernetes Terraform
ML Engineer,DeepLearning Keras PyTorch TensorFlow Python
AI Engineer,Python DeepLearning NLP TensorFlow PyTorch
Data Scientist,Statistics TensorFlow Pandas Python NumPy
Data Analyst,Python Excel PowerBI SQL Statistics
DevOps Engineer,Terraform Kubernetes AWS Docker Linux
Data Analyst,PowerBI Excel Tableau Python Statistics
Cloud Engineer,Azure Terraform Linux Docker GCP
Web Developer,CSS JavaScript HTML Bootstrap NodeJS
Cybersecurity Analyst,Linux Wireshark Networking CyberSecurity Python
Cybersecurity Analyst,Python Networking Linux CyberSecurity Wireshark
Backend Developer,API Python Git Flask SQL
Frontend Developer,JavaScript Angular CSS React HTML
Data Scientist,MachineLearning TensorFlow SQL NumPy Statistics
Web Developer,JavaScript NodeJS Bootstrap React CSS
Web Developer,React CSS JavaScript HTML Bootstrap
AI Engineer,DeepLearning PyTorch TensorFlow Python NLP
Web Developer,CSS HTML JavaScript NodeJS React
Cloud Engineer,Terraform Linux AWS Azure GCP
DevOps Engineer,AWS Docker Terraform Linux CI/CD
Cybersecurity Analyst,Wireshark CyberSecurity Python Linux Networking
Backend Developer,Django API Python Flask SQL
Backend Developer,Flask Python API SQL Git
Cybersecurity Analyst,Linux CyberSecurity Wireshark Networking Python
ML Engineer,Keras DeepLearning Docker PyTorch TensorFlow
Cybersecurity Analyst,Wireshark Linux Networking CyberSecurity Python
Cloud Engineer,Azure Terraform AWS Linux GCP
Web Developer,NodeJS React Bootstrap JavaScript HTML
ML Engineer,Keras DeepLearning Docker Python PyTorch
ML Engineer,Keras TensorFlow PyTorch Python Docker
Backend Developer,Python Git Flask API SQL
Cybersecurity Analyst,Python Wireshark Networking Linux CyberSecurity
DevOps Engineer,Kubernetes CI/CD Terraform Linux AWS
Data Analyst,SQL Python Excel Statistics Tableau
AI Engineer,DeepLearning PyTorch NLP Python TensorFlow
Backend Developer,SQL API Flask Git Django
Cloud Engineer,Azure GCP Docker AWS Terraform
ML Engineer,PyTorch DeepLearning Keras Python Docker
Data Scientist,Pandas Statistics Python MachineLearning SQL
Data Scientist,TensorFlow NumPy Python Pandas MachineLearning
Cybersecurity Analyst,Networking Wireshark Linux CyberSecurity Python
ML Engineer,Keras PyTorch DeepLearning TensorFlow Python
AI Engineer,Python PyTorch DeepLearning TensorFlow NLP
Cloud Engineer,Terraform Azure Linux GCP AWS
ML Engineer,TensorFlow PyTorch Docker Python Keras
Frontend Developer,HTML JavaScript VueJS Angular CSS
Data Scientist,Python Pandas MachineLearning NumPy SQL
ML Engineer,TensorFlow DeepLearning Python Keras Docker
Backend Developer,Python Flask Git Django SQL
Backend Developer,API Django Python SQL Flask
Data Analyst,SQL Tableau Python PowerBI Excel
Cybersecurity Analyst,Python Linux Networking CyberSecurity Wireshark
ML Engineer,Python Docker Keras DeepLearning TensorFlow
Frontend Developer,VueJS Angular HTML React JavaScript
Frontend Developer,JavaScript CSS HTML VueJS Angular
Cloud Engineer,Linux Docker AWS Terraform Azure
Cybersecurity Analyst,Python CyberSecurity Wireshark Networking Linux
Data Analyst,Statistics Python PowerBI Excel Tableau
Frontend Developer,CSS React VueJS Angular HTML
Data Analyst,PowerBI SQL Tableau Statistics Python
Cloud Engineer,AWS Terraform Docker Linux GCP
Cloud Engineer,Terraform GCP Linux Azure Docker
Backend Developer,Django API Flask SQL Python
AI Engineer,NLP PyTorch DeepLearning TensorFlow Python
Web Developer,React CSS Bootstrap HTML JavaScript
Backend Developer,Django Python Git Flask SQL
DevOps Engineer,AWS CI/CD Terraform Docker Linux
AI Engineer,DeepLearning TensorFlow Python PyTorch NLP
Cloud Engineer,Linux AWS Docker GCP Terraform
Cloud Engineer,GCP Azure AWS Linux Docker
ML Engineer,DeepLearning Docker Keras Python TensorFlow
Frontend Developer,JavaScript HTML Angular VueJS CSS
Backend Developer,Django API Flask Python Git
DevOps Engineer,Linux Terraform Docker Kubernetes CI/CD
Cloud Engineer,GCP AWS Linux Terraform Azure
AI Engineer,Python NLP TensorFlow DeepLearning PyTorch
Cybersecurity Analyst,CyberSecurity Wireshark Python Linux Networking
Data Scientist,TensorFlow Python Statistics SQL NumPy
Backend Developer,Django Git Flask API SQL
ML Engineer,DeepLearning Keras TensorFlow Docker PyTorch
AI Engineer,PyTorch NLP DeepLearning Python TensorFlow
Backend Developer,SQL API Flask Python Git
Cybersecurity Analyst,CyberSecurity Linux Python Wireshark Networking
Frontend Developer,JavaScript HTML CSS React VueJS
Web Developer,HTML Bootstrap NodeJS CSS React
Frontend Developer,VueJS React HTML Angular CSS
Web Developer,React Bootstrap CSS NodeJS JavaScript
DevOps Engineer,Linux Docker Terraform CI/CD Kubernetes
Cloud Engineer,Azure AWS Linux Terraform Docker
